term,definition
INTEFP,"Institut national du travail, de l'emploi et de la formation professionnelle"
INTELSAT,International telecommunications satellite consortium (Organisation internationale de télécommunications par satellite)
IO,Infection Opportuniste
IOE,Investigation d’Orientation Éducative
IP,Information Préoccupante (anciennement Signalement) plus d’infos
IP,Intervention Professionnelle
IPAG,Institut de préparation à l'administration générale
IPC,Indice des prix à la consommation
IPC,Ingénieur des ponts et chaussées.
IPC,Interrogatoire de première comparution.
IPCD,Inventaire des politiques culturelles départementales
IPDG,Indemnisations Des Personnels De Direction Et De Gestion
IPET,Inspecteur Principal de l’Enseignement Technique
IPM,Ivresse Publique Manifeste
IPP,Incapacité (ou invalidité) Permanente Partielle
IPR,Inspecteur Pédagogique Régional
IPR,Instance Paritaire Régionale (pôle Emploi)
IPRIA,Inspecteur Pédagogique Régional – Inspecteur d’Académie
IPRICAS,Institution de Prévoyance et de Retraite Interprofessionnelle des Cadres et Assimilés
IPSN,Institut de protection et de sûreté nucléaire
IR,Institut de Rééducation
IRA,Instituts régionaux d'administration
IRA,Institut régional d'administration
IRAS,Infraction Relevée par l'Action des Services
IRC,Infirmière de Recherche Clinique
IRC,Institut des régions chaudes
IRCA,Institution de Retraites Complémentaires Agricoles
IRCAM,Institut de recherche et de coordination acoustique-musique
IRCANTEC,Institut de retraite complémentaire des agents non titulaires de l'État et des collectivités locales
IRCEM,Institution de Retraite des Employés de Maison
IRCGN,Institut de Recherche Criminelle de la Gendarmerie Nationale
IRCHA,Institut national de recherche chimique appliquée
IRD,Institut de recherche pour le développement
IRDES,Institut de recherche et de documentation en économie de la santé
IREPS,Instance Régionale D’éducation Pour La Santé (anciennement CRES)
IRES,Institut de recherche économique et sociale
IRFA,Institut Régional de Formation pour Adultes
IRFSSA,Institut Regional De Formation Sanitaire Et Sociale Auvergne
IRFTS,Institut régional de formation des travailleurs sociaux
IRIS,Imaginons Un Réseau Internet Solidaire
IRIS,Initiatives régionales pour l'insertion et la solidarité.
IRM,Imagerie par résonance magnétique nucléaire
IRMES,Institut de recherche médicale et d'épidémiologie du sport
IRMES,Institut de recherche biomédicale et d'épidémiologie du sport
IRP,Instances de Représentation et de Participation
IRPP,Impôt sur le revenu des personnes physiques
IRSID,Institut de recherche de la sidérurgie
IRSN,Institut de radioprotection et de sûreté nucléaire
IRSTEA,Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture
IRTS,Institut régional de travail social
IRVE,Infrastructures de Recharge pour Véhicules Électriques
IS,Groupe des inspections spécialisées
ISA,Indice Synthétique d’Activité
ISAE,Institut supérieur de l'aéronautique et de l'espace
ISAP,Intervention Sociale D’aide à La Personne
ISARA-LYON,Institut supérieur d'agriculture de Rhône-Alpes
ISBL,Institutions sans but lucratif
ISES,Institution spécialisée d’éducation surveillée
ISF,Impôt de solidarité sur la fortune
ISG,Intervenants Sociaux Gendarmerie
ISIC,Intervention Sociale D’intérêt Collectif
ISM,Indemnité spéciale de montagne
ISM,Institut Supérieur des Métiers
ISMH,Inventaire supplémentaire des monuments historiques.
ISO,International Organization for Standardization (Organisation internationale de normalisation) 
ISOE,Indemnité de suivi et d’orientation des élèves
ISP-Inserm,Institut thématique santé publique de l’Inserm
ISSA,Inspection du service de santé des armées
ISSP,Indemnité de Sujétions Sociales de Police
IST,Infections Sexuellement Transmissibles (voir aussi MST)
ISTPM,Institut scientifique et technique des pêches maritimes
ITA,"Ingénieurs, techniciens, administratifs"
ITAQ,Itinéraire d’Accès à la Qualification
ITAQUE,Itinéraire personnalisé d’accès à la requalification et au diplôme
ITEF,Ingénieurs techniciens d'études et de fabrications
ITEP,Institut Thérapeutique Éducatif et Pédatogique
ITES,Institut Pour Le Travail Éducatif Et Social
ITP,Institut technique du porc.
ITPE,Ingénieur des travaux publics de l'état.
ITS,Institut de travail social
ITSRS,Institut du travail social et des recherches sociales
ITT,Interruption Temporaire de Travail
IUFM,Institut universitaire de formation des maîtres
IUP,Institut Universitaire Professionnalisé
IUT,Institut universitaire de technologie
IVD,Indemnité viagère de départ
IVD,IntraVeineuse Directe
IVG,Interruption volontaire de grossesse
IVL,IntraVeineuse Lente
Ifsi,Institut de formation en soins infirmiers
InVS,Institut national de veille sanitaire
JAF,Juge aux affaires familiales
JAM,Journées de l’Assurance Maladie
JAM,Juges des affaires matrimoniales
JAP,Juges de l'application des peines
JAP,Juge d'Application des Peines
JAPD,Journées d'appel de préparation à la défense
JCLT,jeunesse culture loisirs technique
JCO,Journal de Conduite des Opérations
JDC,Journée Défense Et Citoyenneté (anciennement JAPD)
JDL,Juge de la Détention et des Libertés
JE,Juge des enfants
JE,Juge pour Enfants
JEI,Jeunes entreprises innovantes
JEU,Jeunes entreprises universitaires
JEX,Juge de l’exécution
JI,Juge d’instruction.
JIRS,Juridiction InterRégionale Spécialisée
JIRS,Juridiction interrégionale spécialisée (instruction).
JLD,Juge des libertés et de la détention
JO,Journal officiel
JOC,Jeunesse ouvrière chrétienne
JOCE,Journal officiel des Communautés européennes
JORF,Journal officiel de la République française
JOUE,Journal Officiel de l’Union Européenne
JP,Juge de proximité
JPA,Jeunesse au Plein Air
JPE,Justification au premier euro
JVN,Jumelles Vision Nocturne
KYC,Know Your Customer
LADOM,Agence de l'Outre-mer pour la mobilité
LAEP,Lieu D’accueil Enfants Parents
LAM,Lit Accueil Médicalisé
LAPCIPP,Loi n° 2009-179 du 17 février 2009 pour l’accélération des programmes de construction et d’investissement publics et privés
LAPI,Lecture Automatisée des Plaques d'Immatriculation
LARES,Laboratoire de recherches économiques et sociales
LAU,Loi d'aménagement et d'urbanisme.
LAURE,Loi sur l'air et l'utilisation rationnelle de l'énergie.
LBD,Lanceur de Balles de Défense
LBU,Ligne budgétaire unique (DOM)
LC,libération conditionnelle.
LCE,Loi contre les exclusions (1998)
LCPC,Laboratoire central des ponts et chaussées.
LEA,Lycée D’enseignement Adapté
LEBM,Laboratoire européen de biologie moléculaire.
LEEM,Les Entreprises du médicament
LEGTA,Lycée d'enseignement général et technologique agricole.
LEN,Logement Economique Normalisé
LEN,Loi pour la confiance dans l’économie numérique
LEP,Lycées d'enseignement professionnel
LEPN,Logement Economique de Première Nécessité
LEST,Laboratoire d’économie et de sociologie du travail
LFI,Loi de finance initiale
LFPA,Logement foyer pour personnes âgées
LFSS,Loi de financement de la sécurité sociale.
LGGM,Lance Grenades de la Gendarmerie Mobile
LGR,Licence Gratuite de Repartage.
LGTM,Looks Good To Me / Let Get This Merged
LGV,Ligne à grande vitesse.
LHSS,Lits Halte Soins De Santé
LIC,Locaux Industriels et Commerciaux
LICRA,Ligue internationale contre le racisme et l'antisémitisme
LISP,Lits Identifés en Soins Palliatifs
LJ,Liquidation judiciaire
LKS,Mouvement de libération kanak
LLI,Logement Locatif Intermédiaire
LLS,Logements Locatifs Sociaux
LMA,Liquidation Médico-Administrative
LNCC,Ligue Nationale Contre le Cancer
LNE,Laboratoire national d'essais
LNE,Laboratoire national de métrologie et d'essais
LOA,Loi d'orientation agricole.
LOADDT,Loi d'orientation sur l'aménagement et le développement durable du territoire (Loi Voynet)
LOADT,Loi d'orientation pour l'aménagement et le développement du territoire (loi Pasqua).
LOE,Loi d'orientation sur l'énergie.
LOF,Loi d'orientation foncière.
LOGECO,Logements économique et familiaux (plan Courant 1953)
LOLF,Loi organique relative aux lois de finances
LOLFSS,Loi organique relative aux lois de financement de la sécurité sociale
LOPOFA,Logements Populaires et Familiaux
LOPSI,Loi d'orientation et de programmation pour la sécurité intérieure
LOTI,Loi d'orientation des transports intérieurs
LOV,Loi d’orientation pour la ville
LPA,Lycée Professionnel Agricole.
LPC,Langage parlé complété
LPO,Ligue pour la protection des oiseaux
LPPR,Liste des Produits et Prestations Remboursables
LR,Langues-Renseignement
LRMH,Laboratoire de recherche des monuments historiques
LRPGN,Logiciel de Rédaction de Procédure de la Gendarmerie Nationale
LSC,Libération sous contrainte.
LSF,Langue des signes française
LSI,Loi pour la sécurité intérieure
LSM,Long séjour médicalisé
LTS,Logement très social
LUE,Lettre aux Unités Électronique
Les Ateliers - ENSCI,École nationale supérieure de création industrielle
MA,Moniteur D’atelier
MAA,Ministère de l'Agriculture et de l'Alimentation
MAAA,Maîtrise Avec Arme de d'Adversaire
MAAF,"Ministère de l’Agriculture, de l’Agroalimentaire et de la Forêt"
MAAPAR,Association agréée pour la pêche et la protection du milieu aquatique
MACIB,Mission Audit et contrôle interne budgétaires
MAD,Mise à disposition
MAE,Mesure agro-environnementale.
MAE,Ministère des Affaires étrangères
MAE,Ministère des Affaires Etrangères
MAEDI,Ministère des Affaires étrangères et du Développement International
MAEP,Ministère de l'agriculture de l'élevage et de la pêche
MAESF,Mesure D’accompagnement En Économie Sociale Et Familiale
MAFI,Mission d’appui aux fonctions d’inspection
MAFPEN,Mission Académique à la Formation des Personnels de l’Education Nationale
MAH,Maison d’Accueil et d’Hébergement ;
MAIA,Maisons Pour L’autonomie Et L’intégration Des Malades Alzheimer
MAINH,Mission nationale d’appui à l’investissement hospitalier
MAJ,Mesure D’accompagnement Judiciaire
MANOP,MANière d'OPérer
MAO,Médecin d’Accueil et d’Orientation
MAP,Mesure alternative aux poursuites
MAP,Ministère de l'agriculture et de la pêche
MAPA,Maison d’accueil pour personnes âgées
MAPA,MAPA ou MPA : Marché A Procédure Adaptée
MAPAD,Maison d’accueil pour personnes âgées dépendantes
MAPPP,Mission d’appui à la réalisation des contrats de partenariat public-privé
MAPPP,Mission d'appui aux partenariats public-privé
MAR,Médecin anesthésiste réanimateur
MARISAT,Maritime satellite organisation (Système de télécommunications maritimes par satellites)
MARNU,Modalités d'application du règlement national d'urbanisme
MARPA,Maison d’Accueil Rural pour Personnes Âgées
MAS,Maison d'accueil spécialisée
MAS,Manufacture d'Armes de Saint-Etienne
MASP,Mesure D’accompagnement Social Personnalisé
MAT,Manufacture d'Armes de Tulle
MATIF,Marché à terme d'instruments financiers
MC,Maître de conférence
MC,Mention complémentaire
MCAD,Mention Complémentaire D’aide à Domicile
MCAF,Mission de contrôle des activités financières
MCC,Ministère de la culture et de la communication
MCCPT,Ministère de la communication et de la culture chargé des poste et Télécommunication
MCE,Messagerie Collaborative de l'État
MCGR,Mission de la coordination et de la gestion du risque maladie
MCM,Montants compensatoires monétaires
MCO,"Médecine, Chirurgie, Obstétrique"
MCP,Maladie à caractére professionnel
MDA,maison des adolescents
MDAD,Ministère de l'écologie et du développement et de l'aménagement durables.
MDCS,Mesures De Confiance et de Sécurité
MDE,Maison De L’emploi
MDE,Maîtrise de demande d'énergie
MDID,Mission pour le développement industriel durable
MDL,Maréchal Des Logis
MDO,Maladie à Déclaration Obligatoire
MDP,Maitre de Demi-Pension
MDPH,Maison départementale des personnes handicapées
MDR,Maison De Retraite
MDS,Maison Départementale De La Solidarité (sous la responsabilité des CG)
MDS,Marchés publics de défense ou de sécurité
ME,Moniteur éducateur
ME,Mise en examen.
MEA,Maison de l’Enfance et de l’Adolescence
MEAH,Mission nationale d’Expertise et d’Audit Hospitaliers
MEC,Mis En Cause
MEC,Mise en cause.
MECS,Maison d’enfants à caractère social
MECS,Mise En Concurrence Simplifiée (CMP 2001)
MECSS,Maison d’enfant à caractère sanitaire spécialisé
MECSS,Mission d'évaluation et de contrôle de la sécurité sociale
MEDD,Ministère de l’Ecologie et du Développement Durable
MEDEF,Mouvement des entreprises de France
MEEDDAT,Ministère de l'écologie de l'énergie du développement durable et de l'aménagement du territoire
MEEDM,"Ministère de l’Ecologie, de l’Energie, du Développement durable et de la mer, en charge des Technologies vertes et des Négociations sur le climat"
